date,heure,motif,disponibilite
05_15_22,18_23_33,depot_1er_TDS,0
05_15_22,18_24_36,renouvelement_TDS,0
05_15_22,18_26_00,retrait_TDS,0
05_15_22,18_27_24,retrait_recepisse,0
05_15_22,18_29_09,retrait_DCEM_TVR_TIV,0
05_15_22,18_30_13,regularisation_sejour,0
05_15_22,19_01_48,depot_1er_TDS,0
05_15_22,19_03_13,renouvelement_TDS,0
05_15_22,19_04_58,retrait_TDS,0
05_15_22,19_06_23,retrait_recepisse,0
05_15_22,19_07_47,retrait_DCEM_TVR_TIV,0
05_15_22,19_09_32,regularisation_sejour,0
05_15_22,20_01_48,depot_1er_TDS,0
05_15_22,20_03_12,renouvelement_TDS,0
05_15_22,20_04_38,retrait_TDS,0
05_15_22,20_05_41,retrait_recepisse,0
05_15_22,20_07_05,retrait_DCEM_TVR_TIV,0
05_15_22,20_08_51,regularisation_sejour,0
05_15_22,22_01_51,depot_1er_TDS,0
05_15_22,22_02_54,renouvelement_TDS,0
05_15_22,22_04_18,retrait_TDS,0
05_15_22,22_05_42,retrait_recepisse,0
05_15_22,22_06_45,retrait_DCEM_TVR_TIV,0
05_15_22,22_08_10,regularisation_sejour,0
05_15_22,23_01_47,depot_1er_TDS,0
05_15_22,23_03_11,renouvelement_TDS,0
05_15_22,23_04_56,retrait_TDS,0
05_15_22,23_06_21,retrait_recepisse,0
05_15_22,23_07_24,retrait_DCEM_TVR_TIV,0
05_15_22,23_09_09,regularisation_sejour,0
05_16_22,00_01_47,depot_1er_TDS,1
05_16_22,00_03_12,renouvelement_TDS,1
05_16_22,00_04_36,retrait_TDS,0
05_16_22,00_06_00,retrait_recepisse,0
05_16_22,00_07_03,retrait_DCEM_TVR_TIV,1
05_16_22,00_08_11,regularisation_sejour,1
05_16_22,01_01_47,depot_1er_TDS,1
05_16_22,01_02_51,renouvelement_TDS,1
05_16_22,01_04_36,retrait_TDS,0
05_16_22,01_06_00,retrait_recepisse,0
05_16_22,01_07_03,retrait_DCEM_TVR_TIV,1
05_16_22,01_08_06,regularisation_sejour,1
05_16_22,02_01_50,depot_1er_TDS,1
05_16_22,02_03_14,renouvelement_TDS,1
05_16_22,02_04_59,retrait_TDS,0
05_16_22,02_06_02,retrait_recepisse,0
05_16_22,02_07_05,retrait_DCEM_TVR_TIV,1
05_16_22,02_08_30,regularisation_sejour,1
05_16_22,03_01_48,depot_1er_TDS,1
05_16_22,03_02_51,renouvelement_TDS,1
05_16_22,03_03_54,retrait_TDS,0
05_16_22,03_05_18,retrait_recepisse,0
05_16_22,03_06_42,retrait_DCEM_TVR_TIV,1
05_16_22,03_07_45,regularisation_sejour,1
05_16_22,04_01_46,depot_1er_TDS,1
05_16_22,04_02_49,renouvelement_TDS,1
05_16_22,04_03_52,retrait_TDS,0
05_16_22,04_04_56,retrait_recepisse,0
05_16_22,04_05_59,retrait_DCEM_TVR_TIV,1
05_16_22,04_07_23,regularisation_sejour,1
05_16_22,05_01_45,depot_1er_TDS,1
05_16_22,05_02_49,renouvelement_TDS,1
05_16_22,05_03_53,retrait_TDS,0
05_16_22,05_05_17,retrait_recepisse,0
05_16_22,05_06_20,retrait_DCEM_TVR_TIV,0
05_16_22,05_07_45,regularisation_sejour,1
05_16_22,06_02_09,depot_1er_TDS,1
05_16_22,06_03_13,renouvelement_TDS,1
05_16_22,06_04_16,retrait_TDS,0
05_16_22,06_05_20,retrait_recepisse,0
05_16_22,06_06_23,retrait_DCEM_TVR_TIV,0
05_16_22,06_07_26,regularisation_sejour,1
05_16_22,07_01_50,depot_1er_TDS,1
05_16_22,07_02_53,renouvelement_TDS,1
05_16_22,07_04_35,retrait_TDS,0
05_16_22,07_06_00,retrait_recepisse,0
05_16_22,07_07_08,retrait_DCEM_TVR_TIV,0
05_16_22,07_08_12,regularisation_sejour,1
05_16_22,08_01_47,depot_1er_TDS,1
05_16_22,08_02_50,renouvelement_TDS,1
05_16_22,08_04_57,retrait_TDS,0
05_16_22,08_06_21,retrait_recepisse,0
05_16_22,08_07_24,retrait_DCEM_TVR_TIV,0
05_16_22,08_08_50,regularisation_sejour,1
05_16_22,09_01_48,depot_1er_TDS,1
05_16_22,09_02_51,renouvelement_TDS,1
05_16_22,09_03_57,retrait_TDS,1
05_16_22,09_05_02,retrait_recepisse,0
05_16_22,09_06_26,retrait_DCEM_TVR_TIV,0
05_16_22,09_07_32,regularisation_sejour,1
05_16_22,10_01_47,depot_1er_TDS,1
05_16_22,10_02_50,renouvelement_TDS,1
05_16_22,10_03_53,retrait_TDS,0
05_16_22,10_04_56,retrait_recepisse,0
05_16_22,10_06_00,retrait_DCEM_TVR_TIV,0
05_16_22,10_07_04,regularisation_sejour,1
05_16_22,11_01_48,depot_1er_TDS,1
05_16_22,11_03_12,renouvelement_TDS,0
05_16_22,11_04_15,retrait_TDS,0
05_16_22,11_05_19,retrait_recepisse,0
05_16_22,11_07_07,retrait_DCEM_TVR_TIV,0
05_16_22,11_08_11,regularisation_sejour,1
05_16_22,12_01_50,depot_1er_TDS,1
05_16_22,12_03_15,renouvelement_TDS,0
05_16_22,12_04_40,retrait_TDS,0
05_16_22,12_05_43,retrait_recepisse,0
05_16_22,12_07_08,retrait_DCEM_TVR_TIV,0
05_16_22,12_08_13,regularisation_sejour,1
05_16_22,13_01_47,depot_1er_TDS,1
05_16_22,13_02_50,renouvelement_TDS,0
05_16_22,13_04_15,retrait_TDS,0
05_16_22,13_05_18,retrait_recepisse,0
05_16_22,13_07_05,retrait_DCEM_TVR_TIV,0
05_16_22,13_08_09,regularisation_sejour,1
05_16_22,14_01_47,depot_1er_TDS,1
05_16_22,14_02_51,renouvelement_TDS,0
05_16_22,14_03_56,retrait_TDS,0
05_16_22,14_05_00,retrait_recepisse,0
05_16_22,14_06_05,retrait_DCEM_TVR_TIV,0
05_16_22,14_07_52,regularisation_sejour,1
05_16_22,15_01_45,depot_1er_TDS,1
05_16_22,15_03_10,renouvelement_TDS,0
05_16_22,15_04_34,retrait_TDS,0
05_16_22,15_05_58,retrait_recepisse,0
05_16_22,15_07_25,retrait_DCEM_TVR_TIV,0
05_16_22,15_09_13,regularisation_sejour,1
05_16_22,16_01_48,depot_1er_TDS,1
05_16_22,16_02_52,renouvelement_TDS,0
05_16_22,16_04_16,retrait_TDS,0
05_16_22,16_05_19,retrait_recepisse,0
05_16_22,16_06_25,retrait_DCEM_TVR_TIV,0
05_16_22,16_07_51,regularisation_sejour,1
